epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,123.158,0.21163,0.29318,0.80393,0,0,0,0,0,717,0,0.0001684,0.0001684,0.0001684
170,123.851,0.19898,0.29199,0.80827,0,0,0,0,0,728.5,0,0.00016345,0.00016345,0.00016345
171,124.56,0.1944,0.28403,0.79765,0,0,0,0,0,743,0,0.0001585,0.0001585,0.0001585
172,125.262,0.20711,0.28877,0.81285,0,0,0,0,0,763,0,0.00015355,0.00015355,0.00015355
173,125.954,0.1978,0.28336,0.79704,0,0,0,0,0,773,0,0.0001486,0.0001486,0.0001486
174,126.658,0.19215,0.27995,0.79433,0,0,0,0,0,785,0,0.00014365,0.00014365,0.00014365
175,127.356,0.21005,0.29238,0.80714,0,0,0,0,0,798,0,0.0001387,0.0001387,0.0001387
176,128.051,0.20578,0.29356,0.80006,0,0,0,0,0,812,0,0.00013375,0.00013375,0.00013375
177,128.75,0.1904,0.28788,0.7983,0,0,0,0,0,819.5,0,0.0001288,0.0001288,0.0001288
178,129.449,0.20025,0.28068,0.80006,0,0,0,0,0,809.5,0,0.00012385,0.00012385,0.00012385
179,130.152,0.19799,0.27996,0.80504,0,0,0,0,0,796,0,0.0001189,0.0001189,0.0001189
180,130.84,0.18506,0.26631,0.79663,0,0,0,0,0,782.5,0,0.00011395,0.00011395,0.00011395
181,131.551,0.19773,0.27472,0.79283,0,0,0,0,0,765,0,0.000109,0.000109,0.000109
182,132.24,0.20432,0.29122,0.80368,0,0,0,0,0,750.5,0,0.00010405,0.00010405,0.00010405
183,132.943,0.19782,0.28139,0.79788,0,0,0,0,0,741,0,9.91e-05,9.91e-05,9.91e-05
184,133.642,0.1903,0.2808,0.80975,0,0,0,0,0,737,0,9.415e-05,9.415e-05,9.415e-05
185,134.37,0.19662,0.28045,0.79844,0,0,0,0,0,737,0,8.92e-05,8.92e-05,8.92e-05
186,135.146,0.19641,0.28897,0.80242,0,0,0,0,0,737,0,8.425e-05,8.425e-05,8.425e-05
187,135.846,0.19564,0.28239,0.79837,0,0,0,0,0,735,0,7.93e-05,7.93e-05,7.93e-05
188,136.547,0.19505,0.28106,0.79838,0,0,0,0,0,731.5,0,7.435e-05,7.435e-05,7.435e-05
189,137.251,0.19092,0.28214,0.80358,0,0,0,0,0,735,0,6.94e-05,6.94e-05,6.94e-05
190,137.97,0.19724,0.27875,0.80715,0,0,0,0,0,738,0,6.445e-05,6.445e-05,6.445e-05
191,170.185,0.18535,0.33738,0.79045,0,0,0,0,0,750,0,5.95e-05,5.95e-05,5.95e-05
192,170.868,0.18532,0.3426,0.79015,0,0,0,0,0,744.5,0,5.455e-05,5.455e-05,5.455e-05
193,171.588,0.1696,0.31423,0.76934,0,0,0,0,0,728,0,4.96e-05,4.96e-05,4.96e-05
194,172.3,0.19017,0.32894,0.79038,0,0,0,0,0,713,0,4.465e-05,4.465e-05,4.465e-05
195,173.033,0.17485,0.31827,0.77621,0,0,0,0,0,703,0,3.97e-05,3.97e-05,3.97e-05
196,173.79,0.16961,0.31039,0.77497,0,0,0,0,0,702.5,0,3.475e-05,3.475e-05,3.475e-05
197,174.564,0.17697,0.32248,0.77068,0,0,0,0,0,712,0,2.98e-05,2.98e-05,2.98e-05
198,175.287,0.16951,0.31034,0.78297,0,0,0,0,0,726,0,2.485e-05,2.485e-05,2.485e-05
199,175.983,0.17488,0.3191,0.77148,0,0,0,0,0,743,0,1.99e-05,1.99e-05,1.99e-05
200,176.675,0.16789,0.31331,0.77506,0,0,0,0,0,761,0,1.495e-05,1.495e-05,1.495e-05
